trade_date,stock_id,subject_key,subject_name,final_cycle_state,final_mainline_alive,state_transition_type,cycle_score_mainline_strength,cycle_score_repair,cycle_score_divergence,cycle_score_fade_watch,cycle_score_fade_confirmed,cycle_alive_pass
2026-04-15,600201,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300381,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,001201,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,600135,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600356,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002511,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002012,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,605007,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,605500,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002078,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,603284,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600567,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600963,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,605377,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600966,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,301108,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,000601,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,001223,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,000488,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,603733,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600793,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600235,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600308,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,301469,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,688350,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002235,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,603165,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002067,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600433,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,002521,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,603863,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,600103,9010074,,divergence,False,,53.68,56.568,97.11,32.58,20.272,False
2026-04-15,301631,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688602,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,301150,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,300905,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,300057,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,300953,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,301511,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,002076,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603271,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603993,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603032,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603312,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688388,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,600731,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688733,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688813,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,002426,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,002667,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688778,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,688148,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,600226,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,601390,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603026,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,002812,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,300750,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,301210,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603520,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,603995,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,600711,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,600874,9010168,,divergence,False,,64.293,57.515,98.94,61.325,51.688,False
2026-04-15,002051,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,605598,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,000790,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,600769,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,000065,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,603637,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002683,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,000628,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,000928,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,600970,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,603959,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002135,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002116,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002789,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,300712,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002551,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002061,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,601226,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,601668,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,003001,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,600170,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,600248,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,601618,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,601686,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,000151,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002469,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,002593,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,300384,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,603979,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,600496,9010250,,divergence,False,,53.68,57.306,96.495,31.295,19.124,False
2026-04-15,603993,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000506,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600362,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000960,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000426,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,002667,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601899,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600331,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601390,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600116,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600459,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601618,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600711,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,002237,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000923,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600101,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600489,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601609,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000898,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,301092,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601061,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,601168,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600961,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,603132,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000060,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,603663,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,000709,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,301026,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,002203,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,600058,9010270,,divergence,False,,32.7,39.544,76.38,42.205,24.976,False
2026-04-15,605299,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300651,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300162,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,002639,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,603129,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,603099,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,001300,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300492,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,600358,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,605080,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300113,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,002780,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,301287,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,002858,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300005,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,605099,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,002117,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,300703,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
2026-04-15,301058,9010286,,divergence,False,,35.3,46.778,74.685,26.055,16.212,False
