code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,file
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9023110_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9023110_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9054208_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9054208_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9031543_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9031543_2026-04-20_stocks.jsonl
001229,魅视科技,-1,9.99,122899920.81,31399.99,4105231605,0,2.993739029493806,11,9034957_2026-04-20_stocks.jsonl
002962,五方光电,-1,4.21,883949020.38,482647.29,5273309564.16,-0.06,16.762699204836206,16,9034957_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9025527_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9046870_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9016139_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9010270_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,42,9065632_2026-04-20_stocks.jsonl
003041,真爱美家,-1,6.21,590584250.18,95078.71,8837280000,-0.13,6.682873578521898,24,9065632_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9039979_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9039979_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9059825_2026-04-20_stocks.jsonl
003041,真爱美家,-1,6.21,590584250.18,95078.71,8837280000,-0.13,6.682873578521898,24,9059825_2026-04-20_stocks.jsonl
002392,北京利尔,-1,8.67,481845680.68,622647.19,9250113819.029999,0,5.209078397378337,7,9047321_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9055879_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9055879_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9057161_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9036138_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9036138_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9055378_2026-04-20_stocks.jsonl
000977,浪潮信息,-1,7.17,10962102359.42,1486776.09,107375013013.6,0,10.209174417544938,34,9055378_2026-04-20_stocks.jsonl
002837,英维克,-1,9.41,10129168977.42,847986.84,118241384376.36,0.02,8.5665175782948,48,9019474_2026-04-20_stocks.jsonl
